USP | 手枪 | 兔美美 | 传说 | 提升武器射程(橙)、腰射子弹扩散减小(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持USP | 手枪 | 莲花童子 | 传说 | 降低武器后坐力(橙)、持枪移速提高(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持USP | 手枪 | 喵星狂想 | 史诗 | 武器后坐力降低(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持USP | 手枪 | 双持USP（基础款） | 普通 | 无属性加成
双持左轮 | 手枪 | 怒海狂徒 | 传说 | 提高武器射速(橙)、武器后坐力降低(紫)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持左轮 | 手枪 | 摩羯座 | 传说 | 黄道十二宫星宫赐福小幅提升枪械射程(橙)、稳定性与腰射精度(橙)、切枪速度加快(紫)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持左轮 | 手枪 | 超人强 | 史诗 | 穿透效果增强(紫)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持左轮 | 手枪 | 双持左轮（基础款） | 普通 | 无属性加成
双持clock19 | 手枪 | 方天画戟 | 神兵 | 第一猛将(红)、枪械伤害提升(红)、野人克星(红)、对野人伤害提升(红)、减小散射子弹扩散(橙)、射速提高(紫)、武器射程提高(紫)、野人模式载弹量额外提升(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持clock19 | 手枪 | 夜族蚀刻 | 传说 | 提升武器伤害(橙)、持枪移速提高(紫)、武器后坐力降低(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持clock19 | 手枪 | 未来蛇影 | 传说 | 野人模式伤害提升(橙)、腰射子弹扩散减小(紫)、野人模式载弹量额外提升(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持clock19 | 手枪 | 双持clock19（基础款） | 普通 | 无属性加成
CZ75 | 手枪 | 夜幕誓礼 | 传说 | 降低武器后坐力(橙)、射速提高(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
CZ75 | 手枪 | 百变脸谱 | 传说 | 减小腰射子弹扩散(橙)、射速提高(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
CZ75 | 手枪 | 月影飘灵 | 史诗 | 武器射程提高(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
CZ75 | 手枪 | （基础款待补） | 普通 | 无属性加成
双持毛瑟 | 手枪 | 跃马鎏金 | 传说 | 提高持枪移速(橙)、武器射程提高(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
双持毛瑟 | 手枪 | 剪纸牵忆 | 史诗 | 穿透效果增强(紫)、持枪移速提高(紫)
双持毛瑟 | 手枪 | （基础款待补） | 普通 | 无属性加成
TEC9 | 手枪 | 沙海灯谕 | 传说 | 提升武器射程(橙)、腰射子弹扩散减小(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
TEC9 | 手枪 | 圣夜礼赞 | 史诗 | 武器后坐力降低(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
TEC9 | 手枪 | 火锅 | 稀有 | 载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
TEC9 | 手枪 | （基础款待补） | 普通 | 无属性加成
MAC10 | 手枪 | 猪猪侠·圣者炎龙 | 传说 | 降低武器后坐力(橙)、武器射程提高(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
MAC10 | 手枪 | 惊世泰坦 | 传说 | 提升武器射程(橙)、武器后坐力降低(紫)、载弹量提升(蓝)、开镜速率提升(蓝)、换弹速率提升(蓝)
MAC10 | 手枪 | （基础款待补） | 普通 | 无属性加成
